Day,Calories,Protein (g),Carbs (g),Fat (g)
1,513,26.799999999999997,84.2,7.5
2,514,39.5,59.2,11.8
3,556,23.6,80.8,16.9
4,523,33.7,73.3,4.699999999999999
5,542,20.7,84.1,14.8
6,572,24.9,64.0,21.1
7,496,25.3,78.5,19.0
8,463,31.7,90.7,6.2
9,522,28.7,51.0,23.3
10,531,24.8,94.9,18.4
11,511,23.7,93.3,8.1
12,473,30.9,50.3,18.1
13,581,17.6,95.9,19.200000000000003
14,543,21.6,69.6,20.099999999999998
15,531,19.5,94.8,12.3
16,506,28.299999999999997,63.0,16.200000000000003
17,507,24.9,99.69999999999999,14.7
18,555,26.1,72.0,16.200000000000003
19,459,26.8,84.0,8.7
20,537,28.4,65.7,19.9
21,533,29.2,81.5,11.0
22,594,18.9,85.1,13.4
23,530,18.5,89.4,14.5
24,491,36.199999999999996,66.8,12.3
25,581,15.9,86.3,16.8
26,539,24.299999999999997,61.7,21.2
27,597,24.9,69.8,22.6
28,470,30.9,92.9,10.6
29,541,28.8,56.5,24.3
30,550,25.200000000000003,68.7,18.6
